MariaDB 1 entry,Try 1 indexed,Try 2 indexed,Try 3 indexed,Avrage indexed,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,81","0,7","0,82","0,87","0,69","0,86","0,71","0,86","0,87","0,76","0,76","0,75","0,87","0,75","0,75","0,83","0,9","0,76","0,86","0,85","0,59","0,79","0,59","0,8","0,76","0,81"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,493","3,487","3,741","2,642","0,926","0,719","0,791",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"5,14","10,09","8,73","15,33","6,1","5,24","12,41","9,6","9,26","9,22",,,,,,,,,,,,,,,,
,"58,18","48,68","21,17","45,93","49,3","37,79","34,21","42,2","33,1","50,97",,,,,,,,,,,,,,,,
,"56,99","35,57","55,99","31,88","49,95","62,53","40,03","46,73","36,57","61,68",,,,,,,,,,,,,,,,
,"37,09","33,18","44,34","22,95","48,34","24,33","28,9","32,9","31,2","43,73",,,,,,,,,,,,,,,,
5,"0,98","0,98","0,73","0,76","0,86","1,01","0,65","0,87","0,94","0,95",,,,,,,,,,,,,,,,
,"0,8","0,67","0,58","0,77","0,77","0,85","0,71","0,65","0,7","0,81",,,,,,,,,,,,,,,,
,"1,47","1,46","1,4","1,43","1,43","1,38","1,4","1,41","1,76","1,33",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"9,112","42,153","47,792","34,696","0,861","0,731","1,447",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"58,84","49,32","93,53","50,4","69,32","71,33","124,23","110,82","80,6","73,78",,,,,,,,,,,,,,,,
,"111,82","92,4","123,59","116,1","112,5","85,97","116,07","119,45",111,"97,54",,,,,,,,,,,,,,,,
,"106,43","104,02","125,12",121,"111,01","120,2","133,01","107,5","126,39","113,82",,,,,,,,,,,,,,,,
,"96,72","96,53","0,312","97,33","84,73","121,11","78,92","95,44","110,32","121,44",,,,,,,,,,,,,,,,
5,"1,11","1,24","0,91","0,89","0,88","0,99","0,78","0,67","0,63","0,96","1,17",,,,,,,,,,,,,,,
