,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MariaDB 1 entry,Try 1 indexed,Try 2 indexed,Try 3 indexed,Avrage indexed,,,,,,,,,,,,,,,,,,,,,,,,,
Q3,"1,047636","1,21575","1,859404",,,,,,,,,,,,,,,,"8,63888","8,525843","8,740355","8,514254","8,711029","8,751634","8,687675","8,739837","8,842559","8,829692",
Q4,"0,95512","1,158278","1,104046",,,,,,,,,,,,,,,,"5,387613","5,372374","5,41147","5,330862","5,383408","5,377351","5,364837","5,332597","5,375094","5,340268",
Q5,"0,013915","0,013645","0,020477",,,,,,,,,,,,,,,,"0,056784","0,045295","0,0469","0,055909","0,046371","0,049411","0,051639","0,042788","0,046814","0,045023",
Q6,"0,036093","0,033828","0,038282",,,,,,,,,,,,,,,,"0,025394","0,019986","0,019979","0,020359","0,018822","0,022837","0,014747","0,02787","0,020826","0,022303",
Q7,"0,042117","0,039269","0,039354",,,,,,,,,,,,,,,,"0,027231","0,024433","0,028638","0,028917","0,026905","0,024697","0,021712","0,026719","0,027174","0,007625",
,,,,,,,,,,,Q1,,,,,,,,,,,,,,,,,,
Maria Indexed,,,,,,,,,,,MariaDB Indexed,MariaDB,PostgreSQL Indexed,PostgreSQL,,,,,,,,,,,,,,,
,Q1,Q2,Q3,Q4,Q5,Q6,Q7,,,1,"0,017","0,018","0,003","0,009",,,,,,,,,,,,,,,
1,"0,018","0,018","0,018","0,019","0,018","0,017","0,017",,,1000,"0,021","0,02","0,005","0,01",,,,,,,,,,,,,,,
1000,"0,021","0,036","0,033","0,029","0,02","0,02","0,017",,,10000,"0,028","0,027","0,02","0,016",,"0,053",,,,,,,,,,,,,
10000,"0,028","0,061","0,063","0,053","0,02","0,019","0,019",,,100000,"0,089","0,085","0,106","0,099",,"0,074",,,,,,,,,,,,,
100000,"0,089","0,518","0,46","0,308","0,021","0,019","0,019",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"0,018",,,,,,,,,,,,,,,,,,
Maria No-Index,,,,,,,,,,,Q2,,,,,,,,,,,,,,,,,,
,Q1,Q2,Q3,Q4,Q5,Q6,Q7,,,,MariaDB Indexed,MariaDB,PostgreSQL Indexed,PostgreSQL,,,,,,,,,,,,,,,
1,"0,018","0,019","0,062","0,015","0,018","0,017","0,034",,,1,"0,018","0,019","0,014","0,027",,,,,,,,,,,,,,,
1000,"0,02","0,024","0,025","0,022","0,02","0,018","0,02",,,1000,"0,036","0,024","0,021","0,027",,,,,,,,,,,,,,,
10000,"0,027","0,098","0,112","0,082","0,019","0,02","0,055",,,10000,"0,061","0,098","0,052","0,14",,,,,,,,,,,,,,,
100000,"0,085","0,504","0,602","0,375","0,02","0,018","0,072",,,100000,"0,518","0,531","1,07492","1,57",,"0,504",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PostgreSQL Indexed,,,,,,,,,,,Q3,,,,,,,,,,,,,,,,,,
,Q1,Q2,Q3,Q4,Q5,Q6,Q7,,,,MariaDB Indexed,MariaDB,PostgreSQL Indexed,PostgreSQL,,,,,,,,,,,,,,,
1,"0,003","0,014","0,017","0,012","0,016","0,006","0,011",,,1,"0,018","0,025","0,017","0,026",,,,,,,,,,,,,,,
1000,"0,005","0,021","0,021","0,014","0,015","0,007","0,011",,,1000,"0,033","0,062","0,021","0,027",,,,,,,,,,,,,,,
10000,"0,053","0,052","0,043","0,029","0,02","0,023","0,0165",#DIV/0!,,10000,"0,063","0,112","0,043","0,052",,,,,,,,,,,,,,,
100000,"0,074","1,07492","1,162","0,464","0,015","0,024","0,014",,,100000,"0,46","0,602","1,162","1,374",,,,,,,,,,,,,,,
,,,,,,,,,,,Q4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,MariaDB Indexed,MariaDB,PostgreSQL Indexed,PostgreSQL,,,,,,,,,,,,,,,
PostgreSQL Non-Index,,,,,,,,,,1,"0,019","0,015","0,012","0,023",,,,,,,,,,,,,,,
,Q1,Q2,Q3,Q4,Q5,Q6,Q7,,,1000,"0,029","0,022","0,014","0,026",,,,,,,,,,,,,,,
1,"0,009","0,027","0,027","0,026","0,017","0,02","0,028",,,10000,"0,053","0,082","0,029","0,055",,,,,,,,,,,,,,,
1000,"0,01","0,027","0,026","0,023","0,016","0,017","0,025",,,100000,"0,308","0,375","0,464","1,072",,,,,,,,,,,,,,,
10000,"0,016","0,14","0,052","0,055","0,017","0,019","0,025",,,,,,,,,,,,,,,,,,,,,,
100000,"0,099","1,57","1,374","1,072","0,016","0,036","0,04",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Q5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,MariaDB Indexed,MariaDB,PostgreSQL Indexed,PostgreSQL,,,,,,,,,,,,,,,
,,,,,,,,,,1,"0,018","0,018","0,015","0,015",,,,,,,,,,,,,,,
,,,,,,,,,,1000,"0,0195","0,019","0,017","0,016",,,,,,,,,,,,,,,
,,,,,,,,,,10000,"0,021","0,02","0,019","0,018",,,,,,,,,,,,,,,
,,,,,,,,,,100000,"0,024","0,021","0,023","0,021",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"0,024","0,021","0,021","0,023",,,,,,,,,,,,,,,
,,,,,,,,,,,"0,021",,"0,018","0,019",,,,,,,,,,,,,,,
,,,,,,,,,,,"0,02",,"0,016",,,,,,,,,,,,,,,,
,,,,,,,,,,,Q6,,,,,,,,,,,,,,,,,,
